,trackNum,instrument,medianMetricDepth,tpq,velocity_per_track,onset_per_track,velocity_entropy_per_track,onset_entropy_per_track,DNVR,DNODR,"Ground Truth (0=Score, 1=Performance)"
4.02%,0.0,0.0,12.0,384.0,15.0,10.0,1.8198399615292822,1.92295892360442,11.8110236220472,1.875,0.0
4.03%,0.0,0.0,12.0,384.0,15.0,10.0,1.8251774601370696,1.9262625443250243,11.8110236220472,1.875,0.0
4.04%,0.0,0.0,12.0,384.0,15.0,10.0,1.8284410091155763,1.92739212613927,11.8110236220472,1.875,0.0
4.05%,0.0,0.0,12.0,384.0,15.0,10.0,1.8290448005300781,1.929631317498723,11.8110236220472,1.875,0.0
4.06%,0.0,0.0,12.0,384.0,15.0,10.0,1.8387412451018255,1.9308749430628558,11.8110236220472,1.875,0.0
4.07%,0.0,0.0,12.0,384.0,15.0,10.0,1.8414770403073026,1.9341879826241253,11.8110236220472,1.875,0.0
4.08%,0.0,0.0,12.0,384.0,15.0,10.0,1.844300645896431,1.9357406070586625,11.8110236220472,1.875,0.0
4.09%,0.0,0.0,12.0,384.0,15.0,10.0,1.8484789183547972,1.93619934568452,11.8110236220472,1.875,0.0
4.1%,0.0,0.0,12.0,384.0,15.0,10.0,1.8556092770482155,1.938055203531081,11.8110236220472,1.875,0.0
4.11%,0.0,0.0,12.0,384.0,15.0,10.0,1.8581555151930649,1.9452419877155491,11.8110236220472,1.875,0.0
4.12%,0.0,0.0,12.0,384.0,15.0,10.0,1.8606839748791058,1.946808362617706,11.8110236220472,1.875,0.0
4.13%,0.0,0.0,12.0,384.0,15.0,10.0,1.8625483330972583,1.9480946835987856,11.8110236220472,1.875,0.0
4.14%,0.0,0.0,12.0,384.0,15.0,10.0,1.8646311472827994,1.9502876379902592,11.8110236220472,1.875,0.0
4.15%,0.0,0.0,12.0,384.0,15.0,10.0,1.867393051906037,1.9522471628500282,11.8110236220472,2.034375000000018,0.0
4.16%,0.0,0.0,12.0,384.0,15.0,10.0,1.870845405337236,1.9557341208567933,11.8110236220472,2.08333333333333,0.0
4.17%,0.0,0.0,12.0,384.0,15.0,10.0,1.872001404857079,1.9566235887987975,11.8110236220472,2.08333333333333,0.0
4.18%,0.0,0.0,12.0,384.0,15.0,10.0,1.8740618122105086,1.9622061996729672,11.8110236220472,2.08333333333333,1.0
4.19%,0.0,0.0,12.0,384.0,15.0,10.0,1.875586991460673,1.9638435223793027,11.8110236220472,2.08333333333333,1.0
4.2%,0.0,0.0,12.0,384.0,15.0,10.0,1.8788601482661171,1.964708555687614,11.8110236220472,2.08333333333333,1.0
4.21%,0.0,0.0,12.0,384.0,15.0,10.0,1.8813090426966708,1.9650726610011424,11.8110236220472,2.08333333333333,1.0
4.22%,0.0,0.0,12.0,384.0,15.0,10.0,1.8833259464900192,1.9668244613798862,11.8110236220472,2.08333333333333,1.0
4.23%,0.0,0.0,12.0,384.0,15.492999999999938,10.0,1.885097503590677,1.968519069916699,12.19921259842513,2.08333333333333,1.0
4.24%,0.0,0.0,12.0,384.0,16.0,10.0,1.8867947672607561,1.9694562392644799,12.5984251968504,2.08333333333333,1.0
4.25%,0.0,0.0,12.0,384.0,16.0,10.0,1.88702726883415,1.9727340405642466,12.5984251968504,2.08333333333333,1.0
4.26%,0.0,0.0,12.0,384.0,16.0,10.0,1.8875810435120208,1.976268663684989,12.5984251968504,2.08333333333333,1.0
4.27%,0.0,0.0,12.0,384.0,16.0,10.857000000000085,1.8879031479708135,1.9807480692407462,12.5984251968504,2.08333333333333,1.0
4.28%,0.0,0.0,12.0,384.0,16.0,11.0,1.88915916375402,1.9825107772601644,12.5984251968504,2.08333333333333,1.0
4.29%,0.0,0.0,12.0,384.0,16.0,11.0,1.889540710736435,1.9841601841484624,12.5984251968504,2.08333333333333,1.0
4.3%,0.0,0.0,12.0,384.0,16.0,11.0,1.89118654382655,1.98605696815486,12.5984251968504,2.08333333333333,1.0
4.31%,0.0,0.0,12.0,384.0,16.0,11.0,1.89378823239114,1.9865522721238016,12.5984251968504,2.08333333333333,1.0
4.32%,0.0,0.0,12.0,384.0,16.0,11.0,1.89378823239114,1.9883612586606534,12.5984251968504,2.08333333333333,1.0
4.33%,0.0,0.0,12.0,384.0,16.0,11.0,1.8957379690011265,1.9889304963821068,12.5984251968504,2.08333333333333,1.0
4.34%,0.0,0.0,12.0,384.0,16.0,11.0,1.898265521640075,1.9901410988933488,12.5984251968504,2.08333333333333,1.0
4.35%,0.0,0.0,12.0,384.0,16.0,11.0,1.9011798275286038,1.9907208264464311,12.5984251968504,2.08333333333333,1.0
4.36%,0.0,0.0,12.0,384.0,16.0,11.0,1.9034547051415784,1.9922035413725887,12.5984251968504,2.08333333333333,1.0
4.37%,0.0,0.0,12.0,384.0,16.0,11.0,1.9054145198796109,1.99279814410984,12.5984251968504,2.08333333333333,1.0
4.38%,0.0,0.0,12.0,384.0,16.0,11.0,1.9059420123164048,1.9959159730930844,12.5984251968504,2.08333333333333,1.0
4.39%,0.0,0.0,12.0,384.0,16.0,11.0,1.9061517078204513,1.9968823346531932,12.5984251968504,2.08333333333333,1.0
4.4%,0.0,0.0,12.0,384.0,16.0,11.0,1.906165859476912,2.0023690864566617,12.5984251968504,2.08333333333333,1.0
4.41%,0.0,0.0,12.0,384.0,16.0,11.0,1.9073531774934107,2.0040748783423328,12.5984251968504,2.08333333333333,1.0
4.42%,0.0,0.0,12.0,384.0,16.0,11.0,1.9083781938383528,2.0044808496496294,12.5984251968504,2.08333333333333,1.0
4.43%,0.0,0.0,12.0,384.0,16.0,11.0,1.910151208135982,2.0049627474285217,12.5984251968504,2.08333333333333,1.0
4.44%,0.0,0.0,12.0,384.0,16.0,11.0,1.913697567543809,2.0052414460245642,12.5984251968504,2.08333333333333,1.0
4.45%,0.0,0.0,12.0,384.0,16.49500000000012,11.0,1.9167169320313464,2.006417223562179,12.988188976378028,2.29166666666667,1.0
4.46%,0.0,0.0,12.0,384.0,17.0,11.0,1.9177677338472006,2.0083300423976396,13.3858267716535,2.29166666666667,1.0
4.47%,0.0,0.0,12.0,384.0,17.0,11.0,1.9206649087574386,2.0096663948928795,13.3858267716535,2.29166666666667,1.0
4.48%,0.0,0.0,12.0,384.0,17.0,11.0,1.9250333341959631,2.0112340867501795,13.3858267716535,2.29166666666667,1.0
4.49%,0.0,0.0,12.0,384.0,17.0,11.0,1.925133130993522,2.0120230786147806,13.3858267716535,2.29166666666667,1.0
4.5%,0.0,0.0,12.0,384.0,17.0,11.0,1.9255530695368681,2.0125241882899965,13.3858267716535,2.29166666666667,1.0
50%,0.0,0.0,12.0,384.0,75.0,52.0,2.22156599484268,2.38234678527306,59.0551181102362,13.5416666666667,1.0
max,3.0,46.0,12.0,1024.0,126.0,120.0,3.08733027111959,3.18461464679519,99.2125984251969,54.5454545454546,1.0
