filepath,trackNum,instrument,isDrum,hasTimeSignatures,medianMetricDepth,tpq,velocity_per_track,onset_per_track,velocity_entropy_per_track,onset_entropy_per_track
"Eval-subsets/GiantPiano-MIDIs/Adalid, Marcial del, Sonata for Piano Four Hands, 5vMRDbNa2O4.mid",0,0,FALSE,TRUE,12,384,[88],[52],[2.1442181325778105],[2.4341684016521032]
"Eval-subsets/GiantPiano-MIDIs/Adalid, Marcial del, Un Recuerdo, wjSOPn534So.mid",0,0,FALSE,TRUE,12,384,[80],[52],[2.092077546742106],[2.319321623879526]
"Eval-subsets/GiantPiano-MIDIs/Adams, A. Emmett, The Bells of St. Mary's, 0dujyKFQVc4.mid",0,0,FALSE,TRUE,12,384,[45],[52],[2.377859446752935],[2.5238143286873753]
"Eval-subsets/GiantPiano-MIDIs/Adams, Clifford, Hanky Pank, yvYoOmaNV8k.mid",0,0,FALSE,TRUE,12,384,[33],[39],[2.30147842029763],[3.0375410559922473]
"Eval-subsets/GiantPiano-MIDIs/Adams, Clifford, Ink Splotch Rag, uw7mUVsWUUU.mid",0,0,FALSE,TRUE,12,384,[36],[52],[2.328427301603509],[2.871382834798639]
"Eval-subsets/GiantPiano-MIDIs/Adams, Ernest Harry, Afterwhiles, bf_x_6zgwcs.mid",0,0,FALSE,TRUE,12,384,[77],[51],[2.199421399869957],[2.4764156770400256]
"Eval-subsets/GiantPiano-MIDIs/Adams, Ernest Harry, Evening Invocation, vsq8voyBe0I.mid",0,0,FALSE,TRUE,12,384,[71],[49],[2.2127429840420856],[2.5150720670489335]
"Eval-subsets/GiantPiano-MIDIs/Adams, G. W., The Cake Winner, jpGN53CNZoA.mid",0,0,FALSE,TRUE,12,384,[32],[40],[2.3531628834412635],[2.887748925696466]
"Eval-subsets/GiantPiano-MIDIs/Adams, Mrs. Crosby, Barcarolle, Op.2, 4yD9RWLxKf4.mid",0,0,FALSE,TRUE,12,384,[64],[44],[2.0635777499817336],[2.3867764054627876]
"Eval-subsets/GiantPiano-MIDIs/Adiego Navarro, Tomás, Fidela, UB0my6R4RoA.mid",0,0,FALSE,TRUE,12,384,[29],[29],[2.31422596422739],[2.920668269560314]
"Eval-subsets/GiantPiano-MIDIs/Adiego Navarro, Tomás, Fidelidad, UB0my6R4RoA.mid",0,0,FALSE,TRUE,12,384,[29],[29],[2.31422596422739],[2.920668269560314]
"Eval-subsets/GiantPiano-MIDIs/Adiego Navarro, Tomás, Gitanilla, UB0my6R4RoA.mid",0,0,FALSE,TRUE,12,384,[29],[29],[2.31422596422739],[2.920668269560314]
"Eval-subsets/GiantPiano-MIDIs/Adiego Navarro, Tomás, Modestia, UB0my6R4RoA.mid",0,0,FALSE,TRUE,12,384,[29],[29],[2.31422596422739],[2.920668269560314]
"Eval-subsets/GiantPiano-MIDIs/Adler, Bernard, Dat Lovin' Rag, AAhg5-Lm4qw.mid",0,0,FALSE,TRUE,12,384,[63],[51],[2.235201730276041],[2.5073607501656223]
"Eval-subsets/GiantPiano-MIDIs/Adler, Vincent, 2 Impromptus, Op.1, dTNY0zzHNxA.mid",0,0,FALSE,TRUE,12,384,[71],[48],[2.176848150189213],[2.4813304502637905]
"Eval-subsets/GiantPiano-MIDIs/Adler, Vincent, Grande marche, Op.24, CVChKbwlaCA.mid",0,0,FALSE,TRUE,12,384,[82],[52],[2.2025864849293293],[2.3985142547681852]
"Eval-subsets/GiantPiano-MIDIs/Adler, Vincent, Valse rococo, Op.11, eegaa_igZcg.mid",0,0,FALSE,TRUE,12,384,[78],[52],[2.2068911916968306],[2.342364417708187]
"Eval-subsets/GiantPiano-MIDIs/Ager, Milton, High Brown Blues, sFydDlHrb7A.mid",0,0,FALSE,TRUE,12,384,[75],[52],[2.1983428953482136],[2.53273398073353]
"Eval-subsets/GiantPiano-MIDIs/Aggházy, Károly, 6 Lieder, Op.30, TV2LRF0cmCU.mid",0,0,FALSE,TRUE,12,384,[73],[51],[2.158010768691914],[2.2298898873624244]
"Eval-subsets/GiantPiano-MIDIs/Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",0,0,FALSE,TRUE,12,384,[73],[50],[2.1210639140373573],[2.4326216588695253]
"Eval-subsets/GiantPiano-MIDIs/Agnew, Roy, 2 Piano Solos, FxJoaQcBkvw.mid",0,0,FALSE,TRUE,12,384,[73],[50],[2.1210639140373573],[2.4326216588695253]
"Eval-subsets/GiantPiano-MIDIs/Agnew, Roy, 2 Pieces, FxJoaQcBkvw.mid",0,0,FALSE,TRUE,12,384,[73],[50],[2.1210639140373573],[2.4326216588695253]
"Eval-subsets/GiantPiano-MIDIs/Agnew, Roy, 2 Songs, FxJoaQcBkvw.mid",0,0,FALSE,TRUE,12,384,[73],[50],[2.1210639140373573],[2.4326216588695253]
"Eval-subsets/GiantPiano-MIDIs/Agnew, Roy, 3 Lyrics, 94GTIaSL6q8.mid",0,0,FALSE,TRUE,12,384,[51],[33],[2.309334440530307],[2.248116197422299]
"Eval-subsets/GiantPiano-MIDIs/Agnew, Roy, 3 Poems, LnKv0T-PvNY.mid",0,0,FALSE,TRUE,12,384,[71],[38],[2.2697255619770837],[2.2107054143582685]
"Eval-subsets/GiantPiano-MIDIs/Agnew, Roy, 3 Preludes, _0FzvvfLvrA.mid",0,0,FALSE,TRUE,12,384,[68],[36],[2.2358032088724293],[2.3024176320376597]
"Eval-subsets/GiantPiano-MIDIs/Agnew, Roy, A Dance Impression, d3EMH3txKsk.mid",0,0,FALSE,TRUE,12,384,[76],[49],[2.221964518888342],[2.3787420124203846]
"Eval-subsets/GiantPiano-MIDIs/Agnew, Roy, A May Day, WcNXEoOfE90.mid",0,0,FALSE,TRUE,12,384,[65],[48],[2.1780991112178887],[2.2437405181868426]
"Eval-subsets/GiantPiano-MIDIs/Agnew, Roy, An Autumn Morning, KBcERxrDTPs.mid",0,0,FALSE,TRUE,12,384,[66],[50],[2.3431410897086815],[2.3488338485466387]
"Eval-subsets/GiantPiano-MIDIs/Agnew, Roy, Australian Forest Pieces, 4dRd_HTq6ok.mid",0,0,FALSE,TRUE,12,384,[73],[48],[2.2042336035695786],[2.370904227640274]
"Eval-subsets/GiantPiano-MIDIs/Agnew, Roy, Before Dawn, Mfz6rusKaOY.mid",0,0,FALSE,TRUE,12,384,[71],[46],[2.17542527380961],[2.415239036201307]
"Eval-subsets/GiantPiano-MIDIs/Agnew, Roy, Contrasts, ZLksWOw5_54.mid",0,0,FALSE,TRUE,12,384,[59],[46],[2.189276625665497],[2.3720056079667033]
"Eval-subsets/GiantPiano-MIDIs/Agnew, Roy, Dance of the Wild Men, EOgmmiZ0iFE.mid",0,0,FALSE,TRUE,12,384,[72],[52],[2.277895086781771],[2.455620977231108]
"Eval-subsets/GiantPiano-MIDIs/Agnew, Roy, Drifting Mists, sgyDI9d-ogA.mid",0,0,FALSE,TRUE,12,384,[92],[51],[2.234086763447606],[2.3371770338828686]
"Eval-subsets/GiantPiano-MIDIs/Agnew, Roy, Elf Dance, pH5JmyNzILU.mid",0,0,FALSE,TRUE,12,384,[79],[51],[2.2216365390873625],[2.342258588818833]
"Eval-subsets/GiantPiano-MIDIs/Agnew, Roy, Fantasie Sonata, L7YSslhMWQU.mid",0,0,FALSE,TRUE,12,384,[98],[52],[2.187767418858237],[2.4268900503210467]
"Eval-subsets/GiantPiano-MIDIs/Agnew, Roy, Green Valley, mbdWId6bwQU.mid",0,0,FALSE,TRUE,12,384,[75],[50],[2.129511550044462],[2.3256390255578427]
"Eval-subsets/GiantPiano-MIDIs/Agnew, Roy, Holiday Suite, p6kK1oMvvpk.mid",0,0,FALSE,TRUE,12,384,[56],[48],[2.236993084742103],[2.827174954434905]
"Eval-subsets/GiantPiano-MIDIs/Agnew, Roy, Poem No.1, GHWFSi_4Ltg.mid",0,0,FALSE,TRUE,12,384,[72],[45],[2.246800994261107],[2.541318487434382]
"Eval-subsets/GiantPiano-MIDIs/Agnew, Roy, Prelude No.1, gHtoiDC0hpk.mid",0,0,FALSE,TRUE,12,384,[64],[46],[2.114178246423901],[2.3942538585167434]
"Eval-subsets/GiantPiano-MIDIs/Agnew, Roy, Prelude No.4, 3VAUaxSpwfY.mid",0,0,FALSE,TRUE,12,384,[66],[43],[2.27170077795422],[2.4407315683418638]
"Eval-subsets/GiantPiano-MIDIs/Agnew, Roy, Rabbit Hill, iVrPfk_ODOA.mid",0,0,FALSE,TRUE,12,384,[69],[51],[2.242757201616071],[2.3442775153947157]
"Eval-subsets/GiantPiano-MIDIs/Agnew, Roy, Rural Sketches, ZAGQD_jcGf8.mid",0,0,FALSE,TRUE,12,384,[70],[44],[2.290863633106019],[2.3617602232120922]
"Eval-subsets/GiantPiano-MIDIs/Agnew, Roy, Sonata Ballade, MXyvx1yfDHM.mid",0,0,FALSE,TRUE,12,384,[101],[52],[2.1959229845930874],[2.3842807222787368]
"Eval-subsets/GiantPiano-MIDIs/Agnew, Roy, Trains, TMT6kYhk1vY.mid",0,0,FALSE,TRUE,12,384,[70],[50],[2.263832275436771],[2.40709032312285]
"Eval-subsets/GiantPiano-MIDIs/Agnew, Roy, Youthful Fancies, YIK8RatMELo.mid",0,0,FALSE,TRUE,12,384,[66],[46],[2.171149055358281],[2.4074393616726635]
"Eval-subsets/GiantPiano-MIDIs/Aguirre, Julián, Gato, w9CjQXt12YA.mid",0,0,FALSE,TRUE,12,384,[77],[51],[2.205678368777051],[2.404261166956587]
"Eval-subsets/GiantPiano-MIDIs/Aitken, George, Sérénade, Op.17, 1e3XI4ubM98.mid",0,0,FALSE,TRUE,12,384,[70],[51],[2.1642865810187395],[2.3804187649278536]
"Eval-subsets/GiantPiano-MIDIs/Ajith, Sriram, Winter Night, Op.1, q5xi-3xarzY.mid",0,0,FALSE,TRUE,12,384,[60],[52],[2.2035189458437086],[2.547100408097293]
"Eval-subsets/GiantPiano-MIDIs/Akimenko, Theodore, 3 Danses idylliques, Op.35, ZP-oDJ7dBsw.mid",0,0,FALSE,TRUE,12,384,[86],[52],[2.1900790184445267],[2.3639701561797333]
"Eval-subsets/GiantPiano-MIDIs/Akimenko, Theodore, 3 Morceaux, Op.16, K1FgrYM4w6s.mid",0,0,FALSE,TRUE,12,384,[67],[50],[2.1087036259738405],[2.3616301241930016]
"Eval-subsets/GiantPiano-MIDIs/Akimenko, Theodore, 3 Morceaux, Op.27, K1FgrYM4w6s.mid",0,0,FALSE,TRUE,12,384,[67],[50],[2.1087036259738405],[2.3616301241930016]
"Eval-subsets/GiantPiano-MIDIs/Akimenko, Theodore, 3 Pieces, Op.60bis, bT3HqwIRZB4.mid",0,0,FALSE,TRUE,12,384,[64],[48],[2.23414125385669],[2.308043958774223]
"Eval-subsets/GiantPiano-MIDIs/Akimenko, Theodore, 5 Morceaux, Op.21, L7flLaW0CNo.mid",0,0,FALSE,TRUE,12,384,[78],[48],[2.129315632551397],[2.2306294469218955]
"Eval-subsets/GiantPiano-MIDIs/Akimenko, Theodore, 5 Preludes, Op.23, 5i4TmV9nEr4.mid",0,0,FALSE,TRUE,12,384,[73],[52],[2.1735717863569355],[2.345329473858583]
"Eval-subsets/GiantPiano-MIDIs/Akimenko, Theodore, Au coin du feu, Op.28, 12uYxcYd4qU.mid",0,0,FALSE,TRUE,12,384,[79],[51],[2.1156477462908527],[2.3703977332731947]
"Eval-subsets/GiantPiano-MIDIs/Akimenko, Theodore, Eclogue, Op.12, 3jOlAYM6Bvw.mid",0,0,FALSE,TRUE,12,384,[67],[52],[2.281647934126076],[2.352281756418351]
"Eval-subsets/GiantPiano-MIDIs/Akimenko, Theodore, Jeux, Op.34, oT9uPpgqty4.mid",0,0,FALSE,TRUE,12,384,[75],[52],[2.164220927396802],[2.2684698291575587]
"Eval-subsets/GiantPiano-MIDIs/Akimenko, Theodore, Sonate fantastique, Op.44, 0R39bx38mqE.mid",0,0,FALSE,TRUE,12,384,[79],[52],[2.2100387864903315],[2.3151303554902416]
"Eval-subsets/GiantPiano-MIDIs/Akimenko, Theodore, Uranie, Op.25, KtSZnIl9Ps0.mid",0,0,FALSE,TRUE,12,384,[74],[52],[2.189030818868],[2.304420700028523]
"Eval-subsets/GiantPiano-MIDIs/Aksakov, Sergey, 4 Pieces, CJE1uTVreYU.mid",0,0,FALSE,TRUE,12,384,[86],[50],[2.1498742350724735],[2.36630109447098]
"Eval-subsets/GiantPiano-MIDIs/Aksyonov, Semyon, Etude in G major, atoyZOOjndw.mid",0,0,FALSE,TRUE,12,384,[58],[50],[2.163709005427118],[2.343257658399124]
"Eval-subsets/GiantPiano-MIDIs/Alain, Albert, Espagnolerie, ts4pTlWdmMg.mid",0,0,FALSE,TRUE,12,384,[78],[51],[2.188344191818787],[2.441778811240991]
"Eval-subsets/GiantPiano-MIDIs/Alain, Albert, Nocturne, XzXP2pzwHS4.mid",0,0,FALSE,TRUE,12,384,[75],[52],[2.167394328789263],[2.3433938791073565]
"Eval-subsets/GiantPiano-MIDIs/Alais, Juan, 6 Estilos Criollos, Op.8, 5wCO0Fw3UBo.mid",0,0,FALSE,TRUE,12,384,[56],[40],[2.249919913745247],[2.69759031804558]
"Eval-subsets/GiantPiano-MIDIs/Alais, Juan, Arturo, 6Tsc4AcsBNA.mid",0,0,FALSE,TRUE,12,384,[39],[45],[2.2942905032445116],[2.564024232100443]
"Eval-subsets/GiantPiano-MIDIs/Alard, Charles, 2 Morceaux, mNI8iLWGyFU.mid",0,0,FALSE,TRUE,12,384,[81],[52],[2.2014596995833315],[2.3171617150133734]
"Eval-subsets/GiantPiano-MIDIs/Alary, Joseph, Brise printanière, E-xiH41-IZA.mid",0,0,FALSE,TRUE,12,384,[77],[52],[2.1872242389564356],[2.3346042428956197]
"Eval-subsets/GiantPiano-MIDIs/Alary, Joseph, Sérénade de Pierrot à Colombine, Op.21, HToOwt6_WKI.mid",0,0,FALSE,TRUE,12,384,[74],[51],[2.182224265975997],[2.343194034977482]
"Eval-subsets/GiantPiano-MIDIs/Alba, Antonio, A Ella, FWB_FPl8Bsg.mid",0,0,FALSE,TRUE,12,384,[48],[45],[2.2400172217201635],[2.8077661866710253]
"Eval-subsets/GiantPiano-MIDIs/Alba, Antonio, Amor Naciente, Op.21, Wy1Jnof4Rno.mid",0,0,FALSE,TRUE,12,384,[58],[52],[2.3009762944234264],[2.77453137938985]
"Eval-subsets/GiantPiano-MIDIs/Alba, Antonio, Brisas Porteñas, Op.11, IUZ5tVwlfcs.mid",0,0,FALSE,TRUE,12,384,[43],[21],[2.274621278355552],[2.829869046592896]
"Eval-subsets/GiantPiano-MIDIs/Alba, Antonio, Ecos de Becos, Op.12, ktBoY5TpPvA.mid",0,0,FALSE,TRUE,12,384,[46],[40],[2.270735723114055],[2.6698561936002294]
"Eval-subsets/GiantPiano-MIDIs/Alba, Antonio, El Ensueño, Op.16, Mlv9ML6tAiw.mid",0,0,FALSE,TRUE,12,384,[50],[29],[2.2039019802029323],[2.8510493786081583]
"Eval-subsets/GiantPiano-MIDIs/Alba, Antonio, Fué un sueño, Op.57, RGkpPWfcZm8.mid",0,0,FALSE,TRUE,12,384,[59],[37],[2.3448594674601067],[2.819494967979806]
"Eval-subsets/GiantPiano-MIDIs/Alba, Antonio, Me Amas?, Op.111, EVwvQ3Tbx04.mid",0,0,FALSE,TRUE,12,384,[46],[22],[2.3107322554104037],[2.8086258382798763]
"Eval-subsets/GiantPiano-MIDIs/Alba, Antonio, Penas, Op.81, RRBdIBZEzA4.mid",0,0,FALSE,TRUE,12,384,[50],[52],[2.3096317371912978],[2.6768186796548004]
"Eval-subsets/GiantPiano-MIDIs/Alba, Antonio, Pensando en ti, Op.9, MaCQttuzirY.mid",0,0,FALSE,TRUE,12,384,[62],[44],[2.22243909815294],[2.467507167288584]
"Eval-subsets/GiantPiano-MIDIs/Alba, Antonio, Pitios, PlRD1p-349c.mid",0,0,FALSE,TRUE,12,384,[59],[35],[2.3629387685560275],[2.645586188079773]
"Eval-subsets/GiantPiano-MIDIs/Alba, Antonio, Sensitiva, KZkSx7oTHk4.mid",0,0,FALSE,TRUE,12,384,[54],[36],[2.2800066864785564],[2.660642357174828]
"Eval-subsets/GiantPiano-MIDIs/Alba, Antonio, Siempre Tuyo, Xbl00Tz5KhQ.mid",0,0,FALSE,TRUE,12,384,[53],[48],[2.3569754054975],[2.667940420799319]
"Eval-subsets/GiantPiano-MIDIs/Alba, Antonio, Suspiros del Alma, Op.90, 3TmpXMeJeGM.mid",0,0,FALSE,TRUE,12,384,[68],[49],[2.234240179912543],[2.717066010927369]
"Eval-subsets/GiantPiano-MIDIs/Alba, Antonio, Vals Español, Op.35, 2asGUnOwR2k.mid",0,0,FALSE,TRUE,12,384,[48],[42],[2.2939292111349188],[3.023379629890497]
"Eval-subsets/GiantPiano-MIDIs/Albéniz, Isaac, 12 Piezas características, Op.92, V7xuPiiGqio.mid",0,0,FALSE,TRUE,12,384,[81],[52],[2.230635472268477],[2.4125064963606455]
"Eval-subsets/GiantPiano-MIDIs/Albéniz, Isaac, 2 Danzas espagñoles, Op.164, AtO2VUKC_ic.mid",0,0,FALSE,TRUE,12,384,[67],[52],[2.195238656403327],[2.3747746893777792]
"Eval-subsets/GiantPiano-MIDIs/Albéniz, Isaac, 6 Pequeños valses, Op.25, UAImWiHgIsM.mid",0,0,FALSE,TRUE,12,384,[88],[50],[2.1033920438127818],[2.5865032381675293]
"Eval-subsets/GiantPiano-MIDIs/Albéniz, Isaac, 7 Estudios en los tonos naturales mayores, Op.65, CA1oOAtFqfQ.mid",0,0,FALSE,TRUE,12,384,[69],[52],[2.218103393079815],[2.4041221914246718]
"Eval-subsets/GiantPiano-MIDIs/Albéniz, Isaac, Azulejos, UymneP83Esw.mid",0,0,FALSE,TRUE,12,384,[102],[52],[2.1582655805327486],[2.379423527933421]
"Eval-subsets/GiantPiano-MIDIs/Albéniz, Isaac, Barcarola, Op.23, dJ3qmtEcQoA.mid",0,0,FALSE,TRUE,12,384,[79],[52],[2.1116852261807617],[2.390984953948086]
"Eval-subsets/GiantPiano-MIDIs/Albéniz, Isaac, Champagne-Valse, D2rQLRJZmJs.mid",0,0,FALSE,TRUE,12,384,[84],[52],[2.186034121097375],[2.5151358176163576]
"Eval-subsets/GiantPiano-MIDIs/Albéniz, Isaac, Deseo, Op.40, rm89OwMiZJ0.mid",0,0,FALSE,TRUE,12,384,[80],[52],[2.165258129560026],[2.4304358446539074]
"Eval-subsets/GiantPiano-MIDIs/Albéniz, Isaac, Espagne (Souvenirs), 4khiM5fU438.mid",0,0,FALSE,TRUE,12,384,[61],[48],[2.1935207557120764],[2.386942878390954]
"Eval-subsets/GiantPiano-MIDIs/Albéniz, Isaac, España, Op.165, uSD5lYcyxhY.mid",0,0,FALSE,TRUE,12,384,[98],[52],[2.1708678605654677],[2.346864268586424]
"Eval-subsets/GiantPiano-MIDIs/Albéniz, Isaac, Estudio impromptu, Op.56, G47zqyXr7fE.mid",0,0,FALSE,TRUE,12,384,[86],[52],[2.142077087864062],[2.339018325673172]
"Eval-subsets/GiantPiano-MIDIs/Albéniz, Isaac, Iberia, ShXNe4kc6M8.mid",0,0,FALSE,TRUE,12,384,[109],[52],[2.2045301835699624],[2.4357279254493727]
"Eval-subsets/GiantPiano-MIDIs/Albéniz, Isaac, L'Automne-Valse, Op.170, JVqghVLLWM8.mid",0,0,FALSE,TRUE,12,384,[92],[52],[2.1824620187367665],[2.4978365781552476]
"Eval-subsets/GiantPiano-MIDIs/Albéniz, Isaac, La Vega, xkXHTgrMdFk.mid",0,0,FALSE,TRUE,12,384,[101],[52],[2.2022985600205796],[2.340376296950161]
"Eval-subsets/GiantPiano-MIDIs/Albéniz, Isaac, Les saisons, Op.201, 3tn5mkzkhqQ.mid",0,0,FALSE,TRUE,12,384,[86],[52],[2.1644654000451933],[2.332620360063668]
"Eval-subsets/GiantPiano-MIDIs/Albéniz, Isaac, Mallorca, Op.202, G7T6x5-7ze0.mid",0,0,FALSE,TRUE,12,384,[89],[52],[2.2061070951682975],[2.3814595487048713]
"Eval-subsets/GiantPiano-MIDIs/Albéniz, Isaac, Navarra, uw7D68i4vXE.mid",0,0,FALSE,TRUE,12,384,[92],[52],[2.1775490967336144],[2.536876291361275]
"Eval-subsets/GiantPiano-MIDIs/Albéniz, Isaac, Pavana-Capricho, Op.12, P8hm3jouhYk.mid",0,0,FALSE,TRUE,12,384,[82],[52],[2.106629908533919],[2.2953599610849067]
"Eval-subsets/GiantPiano-MIDIs/Albéniz, Isaac, Piano Sonata No.1, Op.28, GiPVN-U5ML0.mid",0,0,FALSE,TRUE,12,384,[81],[52],[2.189529563589586],[2.613783438656316]
"Eval-subsets/GiantPiano-MIDIs/Albéniz, Isaac, Piano Sonata No.3, Op.68, 86wt9mfPOTs.mid",0,0,FALSE,TRUE,12,384,[88],[52],[2.1719113770383665],[2.4193724440741544]
"Eval-subsets/GiantPiano-MIDIs/Albéniz, Isaac, Piano Sonata No.4, Op.72, ZoWUrGEI_YA.mid",0,0,FALSE,TRUE,12,384,[87],[52],[2.1043979834207556],[2.4144016447240007]
"Eval-subsets/GiantPiano-MIDIs/Albéniz, Isaac, Piano Sonata No.5, Op.82, 8TF9Szpsk7I.mid",0,0,FALSE,TRUE,12,384,[97],[52],[2.2128508545980936],[2.4391992584557145]
"Eval-subsets/GiantPiano-MIDIs/Albéniz, Isaac, Rapsodia Cubana, Op.66, a7AJNG6v45g.mid",0,0,FALSE,TRUE,12,384,[83],[52],[2.1976769932583244],[2.4580327813501883]
"Eval-subsets/GiantPiano-MIDIs/Albéniz, Isaac, Recuerdos de Viaje, Op.71, 8WT14lasbCo.mid",0,0,FALSE,TRUE,12,384,[95],[52],[2.2524825336287453],[2.4233255870048644]
"Eval-subsets/GiantPiano-MIDIs/Albéniz, Isaac, Serenata Arabe, bjYUIDqRpHU.mid",0,0,FALSE,TRUE,12,384,[80],[51],[2.185581494137188],[2.4343595027363003]
"Eval-subsets/GiantPiano-MIDIs/Albéniz, Isaac, Suite ancienne No.1, Op.54, _NmtN_bnx5E.mid",0,0,FALSE,TRUE,12,384,[89],[51],[2.1989579614300423],[2.4079127770851403]
"Eval-subsets/GiantPiano-MIDIs/Albéniz, Isaac, Suite Española No.1, Op.47, pssZnVi_h2I.mid",0,0,FALSE,TRUE,12,384,[100],[52],[2.171014005119791],[2.4056603246990127]
"Eval-subsets/GiantPiano-MIDIs/Albéniz, Isaac, Suite Española No.2, Op.97, RPFr6VlGXYc.mid",0,0,FALSE,TRUE,12,384,[95],[52],[2.1936449333844017],[2.4095268000798313]
"Eval-subsets/GiantPiano-MIDIs/Albéniz, Pedro, Isla de la cascada de Aranjuez, Op.70, r-tBdPlUz4w.mid",0,0,FALSE,TRUE,12,384,[67],[50],[2.191573945506327],[2.498279817517342]
"Eval-subsets/GiantPiano-MIDIs/Albert, Charles d', Iolanthe Quadrille, l_ybTnCl9XI.mid",0,0,FALSE,TRUE,12,384,[72],[52],[2.1882893380038744],[2.4219238226569257]
"Eval-subsets/GiantPiano-MIDIs/Albert, Charles d', Palermo quadrille, l_ybTnCl9XI.mid",0,0,FALSE,TRUE,12,384,[72],[52],[2.1882893380038744],[2.4219238226569257]
"Eval-subsets/GiantPiano-MIDIs/Albert, Charles d', Patience Lancers, 3SEufPIC-rY.mid",0,0,FALSE,TRUE,12,384,[86],[52],[2.204416768785059],[2.481652703930301]
"Eval-subsets/GiantPiano-MIDIs/Albert, Charles d', Patience Quadrille, l_ybTnCl9XI.mid",0,0,FALSE,TRUE,12,384,[72],[52],[2.1882893380038744],[2.4219238226569257]
"Eval-subsets/GiantPiano-MIDIs/Albert, Charles d', Patience Waltz, 3SEufPIC-rY.mid",0,0,FALSE,TRUE,12,384,[86],[52],[2.204416768785059],[2.481652703930301]
"Eval-subsets/GiantPiano-MIDIs/Albert, Charles d', Sweethearts Waltz, H0aFOjy2_1M.mid",0,0,FALSE,TRUE,12,384,[79],[52],[2.202849392600541],[2.4798645627182663]
"Eval-subsets/GiantPiano-MIDIs/Albert, Charles d', The Pirates of Penzance Galop, aYe0hOqiPDo.mid",0,0,FALSE,TRUE,12,384,[89],[52],[2.2046575962904083],[2.4361543058826385]
"Eval-subsets/GiantPiano-MIDIs/Albert, Charles d', The Pirates of Penzance Polka, aYe0hOqiPDo.mid",0,0,FALSE,TRUE,12,384,[89],[52],[2.2046575962904083],[2.4361543058826385]
"Eval-subsets/GiantPiano-MIDIs/Albert, Charles d', The Pirates of Penzance Waltz, aYe0hOqiPDo.mid",0,0,FALSE,TRUE,12,384,[89],[52],[2.2046575962904083],[2.4361543058826385]
"Eval-subsets/GiantPiano-MIDIs/Albert, Eugen d', Piano Sonata, Op.10, 67iZqAah6pc.mid",0,0,FALSE,TRUE,12,384,[90],[52],[2.20517646441472],[2.71363368576617]
"Eval-subsets/GiantPiano-MIDIs/Albery, Dorothy, Prelude in D-flat major, 92WqaR55U0o.mid",0,0,FALSE,TRUE,12,384,[64],[44],[2.229263119766843],[2.350690559303997]
"Eval-subsets/GiantPiano-MIDIs/Albrecht, Ludwig, Elegy in A-flat major, Vc7fN8yzLrs.mid",0,0,FALSE,TRUE,12,384,[45],[32],[2.3030055072904387],[2.3315757781159188]
"Eval-subsets/GiantPiano-MIDIs/Alburger, Mark, Nocturnes for Insomniacs, Op.10, q1zzfqcpCcA.mid",0,0,FALSE,TRUE,12,384,[74],[45],[2.2478299851783814],[2.515452540696869]
