midi_name,tracks_num,velocity_per_track,onset_per_track,velocity_entropy_per_track,Number of velocity notes,TPQN,medianMetricDepth
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2011/MIDI-Unprocessed_23_R1_2011_MID--AUDIO_R1-D9_03_Track03_wav.midi,1,[100],[52],[2.144769754922534],2111,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2013/ORIG-MIDI_01_7_8_13_Group__MID--AUDIO_02_R2_2013_wav--3.midi,1,[100],[51],[2.200608520314328],1423,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2013/ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_08_R1_2013_wav--3.midi,1,[100],[52],[2.2247671626797065],2306,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2013/ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_15_R2_2013_wav--1.midi,1,[100],[52],[2.22011342888239],5798,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2013/ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_18_R2_2013_wav--1.midi,1,[100],[52],[2.1349940204526123],6238,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2014/MIDI-UNPROCESSED_11-13_R1_2014_MID--AUDIO_13_R1_2014_wav--3.midi,1,[100],[52],[2.2211136845479333],10338,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2014/MIDI-UNPROCESSED_16-18_R1_2014_MID--AUDIO_16_R1_2014_wav--3.midi,1,[100],[52],[2.1778092363935615],3762,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2015/MIDI-Unprocessed_R1_D1-9-12_mid--AUDIO-from_mp3_12_R1_2015_wav--4.midi,1,[100],[58],[2.184995817465302],1460,480,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2015/MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_20_R1_2015_wav--3.midi,1,[100],[56],[2.312039891457503],1422,480,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2015/MIDI-Unprocessed_R2_D1-2-3-6-7-8-11_mid--AUDIO-from_mp3_06_R2_2015_wav--1.midi,1,[100],[58],[2.2360477028059687],4310,480,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2015/MIDI-Unprocessed_R2_D2-19-21-22_mid--AUDIO-from_mp3_21_R2_2015_wav--1.midi,1,[100],[58],[2.1812620591518956],6351,480,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_03_R1_2018_wav--1.midi,1,[100],[52],[2.1846677792191818],9152,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2018/MIDI-Unprocessed_Recital13-15_MID--AUDIO_14_R1_2018_wav--3.midi,1,[100],[52],[2.230935296940853],5662,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2018/MIDI-Unprocessed_Recital16_MID--AUDIO_16_R1_2018_wav--2.midi,1,[100],[52],[2.20163383059428],7149,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/groove/drummer1/eval_session/2_funk-groove2_105_beat_4-4.mid,1,[100],[44],[2.010595456309573],324,480,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/groove/drummer1/session2/3_latin-chacarera_118_beat_4-4.mid,1,[100],[46],[2.0343451346889436],952,480,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/groove/drummer3/session2/16_rock_100_beat_4-4.mid,1,[100],[37],[2.036667636235557],350,480,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/groove/drummer9/session1/23_rock_120_beat_4-4.mid,1,[100],[52],[2.2455507736681195],496,480,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2004/MIDI-Unprocessed_SMF_05_R1_2004_01_ORIG_MID--AUDIO_05_R1_2004_02_Track02_wav.midi,1,[101],[58],[2.175959554317753],18947,480,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2004/MIDI-Unprocessed_SMF_13_01_2004_01-05_ORIG_MID--AUDIO_13_R1_2004_05_Track05_wav.midi,1,[101],[58],[2.2722843643672217],12177,480,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2004/MIDI-Unprocessed_XP_01_R1_2004_04-05_ORIG_MID--AUDIO_01_R1_2004_06_Track06_wav.midi,1,[101],[58],[2.262540388937568],5925,480,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2004/MIDI-Unprocessed_XP_06_R2_2004_01_ORIG_MID--AUDIO_06_R2_2004_03_Track03_wav.midi,1,[101],[58],[2.179312519516799],8922,480,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2004/MIDI-Unprocessed_XP_14_R1_2004_01-03_ORIG_MID--AUDIO_14_R1_2004_03_Track03_wav.midi,1,[101],[58],[2.160579309295612],10607,480,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2004/MIDI-Unprocessed_XP_15_R1_2004_03_ORIG_MID--AUDIO_15_R1_2004_03_Track03_wav.midi,1,[101],[58],[2.209889882346071],10263,480,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2004/MIDI-Unprocessed_XP_19_R2_2004_01_ORIG_MID--AUDIO_19_R2_2004_03_Track03_wav.midi,1,[101],[58],[2.19006200767579],8982,480,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2004/MIDI-Unprocessed_XP_21_R1_2004_02_ORIG_MID--AUDIO_21_R1_2004_02_Track02_wav.midi,1,[101],[58],[2.2272307969105856],3837,480,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2006/MIDI-Unprocessed_08_R2_2006_01_ORIG_MID--AUDIO_08_R2_2006_01_Track01_wav.midi,1,[101],[52],[2.2717569556035087],6234,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2006/MIDI-Unprocessed_15_R1_2006_01-05_ORIG_MID--AUDIO_15_R1_2006_01_Track01_wav.midi,1,[101],[52],[2.210293803950961],5065,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2008/MIDI-Unprocessed_02_R3_2008_01-03_ORIG_MID--AUDIO_02_R3_2008_wav--2.midi,1,[101],[52],[2.1809268570234606],4195,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2008/MIDI-Unprocessed_06_R1_2008_01-04_ORIG_MID--AUDIO_06_R1_2008_wav--4.midi,1,[101],[52],[2.178584357339342],2207,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2008/MIDI-Unprocessed_06_R2_2008_01-05_ORIG_MID--AUDIO_06_R2_2008_wav--5.midi,1,[101],[52],[2.181233853581726],2809,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2008/MIDI-Unprocessed_09_R1_2008_01-05_ORIG_MID--AUDIO_09_R1_2008_wav--3.midi,1,[101],[52],[2.1713164704008823],4249,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2008/MIDI-Unprocessed_09_R3_2008_01-07_ORIG_MID--AUDIO_09_R3_2008_wav--4.midi,1,[101],[52],[2.2255960352714954],7290,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2008/MIDI-Unprocessed_11_R1_2008_01-04_ORIG_MID--AUDIO_11_R1_2008_wav--3.midi,1,[101],[52],[2.1838346384633844],1640,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2008/MIDI-Unprocessed_12_R2_2008_01-04_ORIG_MID--AUDIO_12_R2_2008_wav--3.midi,1,[101],[52],[2.1575996520246514],5801,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2009/MIDI-Unprocessed_04_R1_2009_04-06_ORIG_MID--AUDIO_04_R1_2009_04_R1_2009_04_WAV.midi,1,[101],[52],[2.251364292612932],1963,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2009/MIDI-Unprocessed_09_R2_2009_01_ORIG_MID--AUDIO_09_R2_2009_09_R2_2009_02_WAV.midi,1,[101],[52],[2.1793951044096964],3953,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2009/MIDI-Unprocessed_10_R2_2009_01_ORIG_MID--AUDIO_10_R2_2009_10_R2_2009_01_WAV.midi,1,[101],[52],[2.200023336714583],7785,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2009/MIDI-Unprocessed_16_R2_2009_01_ORIG_MID--AUDIO_16_R2_2009_16_R2_2009_03_WAV.midi,1,[101],[52],[2.146785599702135],3143,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2011/MIDI-Unprocessed_17_R2_2011_MID--AUDIO_R2-D5_04_Track04_wav.midi,1,[101],[52],[2.1753815135209975],3844,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2011/MIDI-Unprocessed_23_R3_2011_MID--AUDIO_R3-D8_04_Track04_wav.midi,1,[101],[52],[2.1708112860505087],4368,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2013/ORIG-MIDI_01_7_10_13_Group_MID--AUDIO_07_R3_2013_wav--3.midi,1,[101],[52],[2.182466428485526],4773,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2013/ORIG-MIDI_01_7_7_13_Group__MID--AUDIO_14_R1_2013_wav--3.midi,1,[101],[52],[2.23402663573939],2254,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2013/ORIG-MIDI_01_7_8_13_Group__MID--AUDIO_04_R2_2013_wav--1.midi,1,[101],[52],[2.21523350588629],4917,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2013/ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_08_R1_2013_wav--5.midi,1,[101],[52],[2.161571468381963],3105,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2013/ORIG-MIDI_02_7_7_13_Group__MID--AUDIO_15_R1_2013_wav--3.midi,1,[101],[52],[2.1792041606578114],4215,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2013/ORIG-MIDI_02_7_7_13_Group__MID--AUDIO_16_R1_2013_wav--2.midi,1,[101],[52],[2.1780627850267025],4355,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2013/ORIG-MIDI_02_7_8_13_Group__MID--AUDIO_14_R2_2013_wav--1.midi,1,[101],[52],[2.145348658952692],3852,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2014/MIDI-UNPROCESSED_01-03_R1_2014_MID--AUDIO_03_R1_2014_wav--3.midi,1,[101],[52],[2.191666483061558],6515,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2014/MIDI-UNPROCESSED_04-08-12_R3_2014_MID--AUDIO_12_R3_2014_wav--1.midi,1,[101],[52],[2.2158844781022156],7816,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_06_R1_2015_wav--4.midi,1,[101],[58],[2.2085525604069667],2524,480,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2015/MIDI-Unprocessed_R2_D1-2-3-6-7-8-11_mid--AUDIO-from_mp3_08_R2_2015_wav--2.midi,1,[101],[58],[2.1710413683081144],6297,480,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2017/MIDI-Unprocessed_044_PIANO044_MID--AUDIO-split_07-06-17_Piano-e_1-04_wav--3.midi,1,[101],[58],[2.144490387145769],2283,480,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2017/MIDI-Unprocessed_060_PIANO060_MID--AUDIO-split_07-07-17_Piano-e_2-04_wav--2.midi,1,[101],[58],[2.1849021115871503],2841,480,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2017/MIDI-Unprocessed_074_PIANO074_MID--AUDIO-split_07-08-17_Piano-e_2-04_wav--2.midi,1,[101],[58],[2.1597801738525892],6304,480,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_11_R1_2018_wav--1.midi,1,[101],[52],[2.2229122934367807],4867,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/groove/drummer5/eval_session/5_funk-groove5_84_beat_4-4.mid,1,[101],[46],[2.0953176906008575],403,480,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2004/MIDI-Unprocessed_SMF_17_R1_2004_03-06_ORIG_MID--AUDIO_20_R2_2004_12_Track12_wav--2.midi,1,[102],[58],[2.203192234276706],5158,480,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2004/MIDI-Unprocessed_XP_04_R2_2004_01_ORIG_MID--AUDIO_04_R2_2004_01_Track01_wav.midi,1,[102],[58],[2.1544067288664515],5596,480,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2004/MIDI-Unprocessed_XP_08_R1_2004_03_ORIG_MID--AUDIO_08_R1_2004_03_Track03_wav.midi,1,[102],[58],[2.194528988862712],5789,480,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2004/MIDI-Unprocessed_XP_18_R1_2004_01-02_ORIG_MID--AUDIO_18_R1_2004_03_Track03_wav.midi,1,[102],[58],[2.1730414725866734],2655,480,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2004/MIDI-Unprocessed_XP_22_R2_2004_01_ORIG_MID--AUDIO_22_R2_2004_01_Track01_wav.midi,1,[102],[58],[2.1552239476784543],4903,480,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2008/MIDI-Unprocessed_01_R1_2008_01-04_ORIG_MID--AUDIO_01_R1_2008_wav--2.midi,1,[102],[52],[2.2273533746098826],2722,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2008/MIDI-Unprocessed_10_R1_2008_01-04_ORIG_MID--AUDIO_10_R1_2008_wav--2.midi,1,[102],[52],[2.167905092882121],4368,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2008/MIDI-Unprocessed_10_R2_2008_01-05_ORIG_MID--AUDIO_10_R2_2008_wav--4.midi,1,[102],[52],[2.23252099283353],4239,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2008/MIDI-Unprocessed_11_R2_2008_01-05_ORIG_MID--AUDIO_11_R2_2008_wav--3.midi,1,[102],[52],[2.19089978618747],6499,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2008/MIDI-Unprocessed_14_R1_2008_01-05_ORIG_MID--AUDIO_14_R1_2008_wav--3.midi,1,[102],[52],[2.1998942399133865],3097,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2008/MIDI-Unprocessed_16_R1_2008_01-04_ORIG_MID--AUDIO_16_R1_2008_wav--3.midi,1,[102],[52],[2.193853620467654],2911,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2008/MIDI-Unprocessed_17_R1_2008_01-04_ORIG_MID--AUDIO_17_R1_2008_wav--2.midi,1,[102],[52],[2.1580621619988047],3306,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2009/MIDI-Unprocessed_07_R2_2009_01_ORIG_MID--AUDIO_07_R2_2009_07_R2_2009_02_WAV.midi,1,[102],[52],[2.1794949454953807],2777,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2009/MIDI-Unprocessed_12_R2_2009_01_ORIG_MID--AUDIO_12_R2_2009_12_R2_2009_01_WAV.midi,1,[102],[52],[2.1732442491967956],4878,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2009/MIDI-Unprocessed_16_R2_2009_01_ORIG_MID--AUDIO_16_R2_2009_16_R2_2009_01_WAV.midi,1,[102],[52],[2.1296962670339528],5498,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2011/MIDI-Unprocessed_02_R1_2011_MID--AUDIO_R1-D1_10_Track10_wav.midi,1,[102],[52],[2.2053203922683804],3126,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2011/MIDI-Unprocessed_03_R2_2011_MID--AUDIO_R2-D1_07_Track07_wav.midi,1,[102],[52],[2.1642902596889835],5978,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2011/MIDI-Unprocessed_06_R1_2011_MID--AUDIO_R1-D2_15_Track15_wav.midi,1,[102],[52],[2.182856945925069],3541,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2011/MIDI-Unprocessed_07_R1_2011_MID--AUDIO_R1-D3_03_Track03_wav.midi,1,[102],[52],[2.195636600458424],2134,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2011/MIDI-Unprocessed_10_R2_2011_MID--AUDIO_R2-D3_10_Track10_wav.midi,1,[102],[52],[2.192693043483226],6377,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2011/MIDI-Unprocessed_17_R3_2011_MID--AUDIO_R3-D6_04_Track04_wav.midi,1,[102],[52],[2.1840186579609058],3460,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2011/MIDI-Unprocessed_19_R1_2011_MID--AUDIO_R1-D7_15_Track15_wav.midi,1,[102],[52],[2.228621367031385],5495,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2011/MIDI-Unprocessed_22_R1_2011_MID--AUDIO_R1-D8_13_Track13_wav.midi,1,[102],[52],[2.210953687774281],4011,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2013/ORIG-MIDI_01_7_10_13_Group_MID--AUDIO_08_R3_2013_wav--1.midi,1,[102],[52],[2.189082029716997],7421,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2013/ORIG-MIDI_01_7_7_13_Group__MID--AUDIO_13_R1_2013_wav--4.midi,1,[102],[52],[2.175479600591166],6107,384,12
./midi_lib/REMMM-CC/MMDD-Genre-Global/Genre_Metadata_Complete/maestro-v3.0.0-Classical-1276MIDIs/2013/ORIG-MIDI_01_7_8_13_Group__MID--AUDIO_02_R2_2013_wav--2.midi,1,[102],[50],[2.152970543099596],966,384,12
